"country","CODE","pop2018","pop2019","pop2020","pop2021","pop2022","pop2023","pop2024","pop2025","pop2026","pop2027","pop2028","pop2029","pop2030","pop2031","pop2032","pop2033","pop2034","pop2035","pop2036","pop2037","pop2038","pop2039","pop2040","pop2041","pop2042","pop2043","pop2044","pop2045","pop2046","pop2047","pop2048","pop2049","pop2050","pop2051","pop2052","pop2053","pop2054","pop2055","pop2056","pop2057","pop2058","pop2059","pop2060","pop2061","pop2062","pop2063","pop2064","pop2065","pop2066","pop2067","pop2068","pop2069","pop2070","Country.code","Continent","endemic","pop2015","HDI","Percent.Urban","urban_dogs_Knoble","rural_dogs_Knoble","total_dogs_Knoble","rural_HDR","urban_HDR","Business.Plan.Phase","cluster","gavi","gavi_2018","prop_urban","p_rabid","p_rabid_n","p_rabid_source","p_rabid_setting","p_seek","p_seek_n","p_receive","p_receive_n","p_complete","p_complete_n","vaccine_paid_by_patient","RIG_usage","RIG_paid_by_patient","ID","ID_prop","tot_dog_pop","dog_pop_setting","cost_first_visit","cost_followup_visit","ID_2015","price_per_vial","price_per_vial_RIG"
"Afghanistan","AFG",36373176,37209007,38054941,38913707,39779095,40649204,41519986,42388400,43254446,44119315,44982317,45842659,46699545,47552324,48400329,49242776,50078786,50907550,51728328,52540360,53342664,54134238,54914122,55681683,56436296,57177142,57903378,58614315,59309352,59988191,60650823,61297440,61928118,62542629,63140612,63721905,64286388,64833869,65364208,65877123,66372235,66849094,67307303,67746600,68166836,68567901,68949732,69312240,69655300,69978689,70282194,70565547,70828562,"AFG","Asia",1,32526562,0.398,27,1158076,1667202,2825278,14.3,7.5,"II","asia",TRUE,TRUE,0.27132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,9.04963550834125,6.63992693879564,FALSE,NA,NA
"Albania","ALB",2934363,2938428,2942034,2944804,2946540,2947341,2947436,2946992,2945952,2944148,2941514,2937961,2933419,2927864,2921296,2913716,2905095,2895451,2884782,2873133,2860572,2847180,2833058,2818259,2802812,2786778,2770248,2753275,2735905,2718188,2700179,2681961,2663591,2645091,2626496,2607795,2588991,2570056,2551016,2531868,2512604,2493200,2473665,2453968,2434127,2414120,2393917,2373506,2352885,2332057,2311030,2289799,2268385,"ALB","Europe",1,2889167,0.739,57,255167,189320,444487,6.5,6.5,NA,"endemic",FALSE,FALSE,0.58376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,5.03628940623015,3.69119347800394,FALSE,NA,NA
"Algeria","DZA",42008054,42679018,43333255,43969303,44584467,45178849,45752995,46307643,46843063,47360008,47860486,48347052,48821963,49286285,49741054,50188453,50630920,51070401,51507846,51943721,52378836,52813830,53248997,53684399,54119593,54553530,54984743,55411769,55833922,56250124,56657885,57054231,57436703,57804208,58156137,58491219,58808275,59106493,59385347,59644912,59885843,60109267,60316226,60507128,60682545,60843900,60992938,61131159,61259492,61378599,61489432,61592928,61689919,"DZA","Africa",1,39666519,0.698,71,1323346,1569132,2892479,7.4,21.2,"II","endemic",FALSE,FALSE,0.71304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,8.66405641689903,6.35568143424703,FALSE,17.6231247050967,NA
"Andorra","AND",76953,77072,77184,77276,77392,77521,77649,77775,77887,77971,78037,78089,78154,78220,78284,78342,78397,78444,78486,78517,78546,78556,78550,78525,78478,78415,78329,78205,78060,77892,77684,77446,77187,76897,76578,76232,75856,75467,75054,74621,74177,73723,73261,72792,72328,71861,71398,70942,70498,70066,69649,69244,68854,"AND","Europe",0,70473,0.838,85,9228,1614,10842,6.5,6.5,NA,"free",FALSE,FALSE,0.84612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,53.1956350678209,38.9922353011459,FALSE,NA,NA
"Angola","AGO",30774205,31787566,32827401,33894484,34988302,36109078,37256728,38431208,39632777,40861741,42118066,43401630,44712282,46049888,47414284,48805159,50222155,51664864,53132953,54626019,56143480,57684681,59249002,60835954,62445070,64075730,65727293,67399148,69090764,70801659,72531421,74279686,76046053,77830032,79631114,81448802,83282636,85132120,86996704,88875848,90769086,92676002,94596081,96528707,98473158,100428785,102394875,104370664,106355456,108348391,110348436,112354428,114365294,"AGO","Africa",1,25021974,0.486,44,519914,1891864,2411778,7.4,21.2,"II","west africa",TRUE,FALSE,0.44819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,36.9115889850362,27.0771899049492,FALSE,NA,NA
"Antigua and Barbuda","ATG",103050,104084,105110,106125,107144,108138,109126,110094,111043,111971,112877,113763,114608,115442,116242,117008,117744,118452,119131,119770,120377,120955,121503,122010,122482,122922,123334,123729,124079,124404,124701,124973,125223,125451,125652,125832,125997,126147,126275,126392,126504,126595,126686,126764,126838,126909,126969,127025,127081,127133,127184,127222,127254,"ATG","Americas",0,91818,0.764,24,2910,9332,12242,7.5,7.5,NA,"free",FALSE,FALSE,0.23393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,26.381740061135,19.3436974906107,FALSE,NA,NA
"Argentina","ARG",44688864,45101781,45510399,45914426,46313273,46707020,47095834,47479800,47858884,48232945,48601833,48965339,49323306,49675627,50022276,50363210,50698399,51027807,51351362,51669000,51980643,52286212,52585643,52878835,53165726,53446298,53720586,53988553,54250133,54505185,54753494,54994811,55228902,55455656,55674954,55886613,56090458,56286317,56474080,56653669,56824972,56987923,57142441,57288541,57426180,57555274,57675738,57787523,57890676,57985346,58071774,58150259,58221093,"ARG","Americas",1,43416755,0.797,92,5311374,477526,5788901,7.5,7.5,NA,"endemic",FALSE,FALSE,0.91893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,18.8105460415682,13.7923242143395,FALSE,53.5192715290608,NA
"Armenia","ARM",2934152,2936706,2938679,2939944,2940089,2939169,2937237,2934370,2930588,2925921,2920450,2914268,2907463,2900079,2892154,2883791,2875096,2866150,2856998,2847657,2838113,2828360,2818399,2808228,2797835,2787163,2776111,2764618,2752658,2740248,2727366,2714016,2700184,2685878,2671105,2655894,2640273,2624286,2607936,2591257,2574282,2557049,2539596,2521936,2504108,2486126,2468026,2449832,2431558,2413227,2394839,2376382,2357856,"ARM","Europe",1,3017712,0.716,63,290968,173296,464263,6.5,6.5,"III","asia",TRUE,FALSE,0.62558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,5.87860785679464,4.30854488865369,FALSE,NA,NA
"Australia","AUS",24772247,25088636,25398177,25700455,25996287,26286687,26573232,26857068,27138610,27417603,27693680,27966193,28234742,28499354,28760433,29018332,29273531,29526448,29777258,30026101,30273354,30519420,30764641,31009076,31252803,31496058,31739106,31982056,32225028,32467814,32709660,32949581,33186818,33421076,33652432,33880899,34106656,34329789,34550281,34767994,34982925,35195073,35404457,35611058,35814913,36016123,36214816,36411095,36604991,36796486,36985644,37172476,37357006,"AUS","Oceania",0,23781169,0.929,89,2835445,175897,3011342,14.3,7.5,NA,"free",FALSE,FALSE,0.89554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,57.1817744810919,41.9160971324315,FALSE,101.794060723404,NA
"Austria","AUT",8751820,8766201,8782210,8800683,8820467,8840866,8860572,8878617,8895000,8910093,8923730,8935707,8945882,8954175,8960620,8965350,8968574,8970477,8971097,8970431,8968620,8965812,8962110,8957572,8952219,8946033,8938992,8931070,8922320,8912733,8902223,8890624,8877857,8863925,8848914,8832948,8816153,8798684,8780593,8761977,8743040,8724044,8705193,8686586,8668264,8650293,8632729,8615630,8599031,8582925,8567216,8551786,8536493,"AUT","Europe",0,8611088,0.885,66,873933,450850,1324783,6.5,6.5,NA,"free",FALSE,FALSE,0.66032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,46.5555271066557,34.1250567828995,FALSE,NA,NA
